"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","CBB_3mon","DM_gravity","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","lodging1_3","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","root_weight_commercial","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","DM_nirs","frogskin1_5","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","ave_WAB"
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_CM4919-1_603",1,603,21,23,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,28,140,7.421875,3.8,4,1,10,4,4,4,140,40,3,3,1,2,2,18,3710,255,0,3,1,3,1,5,NA,NA,NA,NA,NA,NA,NA,4,75,7.421875,2.078125,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_CM523-7_91",1,91,4,26,"test"," (Operator: lizbethpino, Time: )","CM523-7_is_Catumare","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",1,1,26.3,160,9.5703125,4.9,4,2,5,6,4,4,210,50,4,3,1,3,2,20,4530,268,0,4,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,9.5703125,2.5169921875,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_CM8996-199_607",1,607,21,27,"test"," (Operator: lizbethpino, Time: )","CM8996-199","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",2,1,22.9,100,2.9296875,1.5,4,1,2,6,4,2,190,60,4,3,1,4,2,20,1480,59,0,4,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,2.9296875,0.6708984375,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_CM8996-246_439",1,439,16,26,"test"," (Operator: lizbethpino, Time: )","CM8996-246","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",1,1,20.6,140,4.4921875,2.3,4,1,5,8,4,2,230,50,4,3,1,2,3,15,2160,57,0,4,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,4.4921875,0.925390625,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_CM8996-581_501",1,501,18,22,"test"," (Operator: lizbethpino, Time: )","CM8996-581","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",3,1,26,70,2.34375,1.2,3,1,5,6,4,3,170,30,4,1,1,4,2,20,950,55,0,4,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,2.34375,0.609375,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_CM8996-596_90",1,90,4,27,"test"," (Operator: lizbethpino, Time: )","CM8996-596","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",2,1,18,30,6.8359375,3.5,3,1,12,6,4,3,180,40,3,3,1,2,2,27,3000,32,0,4,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,6.8359375,1.23046875,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_CM9912-167_76",1,76,3,18,"test"," (Operator: lizbethpino, Time: )","CM9912-167","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,22.8,190,9.9609375,5.1,5,2,15,8,4,2,190,60,4,1,1,2,3,24,4600,182,0,4,1,3,1,5,NA,NA,NA,NA,NA,NA,NA,4,100,9.9609375,2.27109375,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_COL144_594",1,594,21,14,"test"," (Operator: lizbethpino, Time: )","COL144","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",1,1,20.8,70,0.9765625,0.5,3,2,3,4,4,4,110,60,1,3,1,4,3,8,580,16,0,1,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,25,0.9765625,0.203125,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia","COL14685","202393DVGST_stom_rep1_COL1468_498",1,498,18,25,"test"," (Operator: lizbethpino, Time: )","COL1468","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",2,1,20.4,90,12.890625,6.6,4,2,18,6,4,3,200,50,4,2,1,2,3,29,4940,124,0,4,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,4,100,12.890625,2.6296875,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_COL1505_509",1,509,18,14,"test"," (Operator: lizbethpino, Time: )","COL1505","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,25.3,160,4.1015625,2.1,4,3,8,6,4,3,160,50,3,2,1,3,2,13,1910,103,0,3,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,75,4.1015625,1.0376953125,NA
