"accession_name","branch_number","carotenoid1_8","DM_gravity","DM_yield_ha","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","plant_type","root_constriction1_3","root_length1_3","root_number","root_number_commercial","root_peduncle1_3","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5","yield_ha","BLUEs_WAB_20min_10mon","BLUEs_WAB_30min_10mon","BLUEs_carotenoidtotal","BLUEs_betacarotenoid_nirs","BLUEs_DM_nirs","BLUEs_ave_WAB","BLUPs_WAB_20min_10mon","BLUPs_WAB_30min_10mon","BLUPs_carotenoidtotal","BLUPs_betacarotenoid_nirs","BLUPs_DM_nirs","BLUPs_ave_WAB"
"GM14317B-4",0.46,2.04,31.11,5.28,96.76,228.35,195.48,45.29,1.77,2.96,1.03,2.4,21.57,9.84,1.16,2.82,2.17,2.09,6.71,1.04,4.36,16.01,2.1,5.7,0.9,0.4,39.3,4.3,3,8.8,0.8,0.4,39.6,6
"GM14317B-9",3.35,1.2,29.44,3.87,95.21,174.31,82.39,39.41,1.24,3.35,1.05,2.48,20.13,8.78,1.14,2.28,2.14,2.38,5.29,1.06,4.23,12.82,4,20.6,0,0.6,36.3,10.8,6,19.7,0.3,0.5,36.4,12.9
"GM14318B-1",0.13,2.05,33.54,2.53,88.21,214.47,184.53,43.51,1.6,3.62,1.01,2.01,17.46,5.03,1.11,2.13,2.44,3.44,3.02,2.07,4.31,7.4,8.6,18.2,0.9,0.7,41.9,12.8,6.7,13.5,1,0.9,42.2,10.3
"GM14318B-2",2.01,2.12,27.05,4.69,96.78,255.19,168.86,46.05,2.26,2.83,1.03,2.42,32.65,12.39,1.16,2.27,2.17,2.33,7.02,1.05,4.75,16.71,2.5,7.4,0.6,0.2,37.6,4.8,4.3,10.2,0.6,0.3,38.6,7.3
"GM14318B-3",1.99,2.04,29.43,2.64,96.76,203.59,143.72,39.83,1.75,2.95,1.03,2.05,19.95,7.35,1.16,2.31,3.08,3,3.5,1.06,4.37,8.83, , , , , , , , , , , , 
"GM14318B-5",2.83,2.12,28.82,4.35,96.09,223.66,75.6,40.07,2.28,3.04,1.06,2.39,24.25,11.26,1.14,2.83,3.06,2.47,6.02,1.02,4.29,14.46,8.5,25.3,0.9,0.6,40.4,17.3,8.3,23.1,1,0.6,40.9,15.8
"GM14319B-1",1.85,2.03,27.59,2.83,86.44,212.69,116.55,47.21,1.02,2.22,1.03,2.4,16.68,8.11,1.12,2.88,3.03,2.29,4.29,1.01,4.14,10.07,9.3,27.5,0.8,-0.2,37.9,18.7,6,18.4,0.9,0.3,38.3,12.2
"GM14319B-2",2.43,2.37,27.81,2.9,99.19,244.51,137.95,42.54,0.94,1.86,1.04,1.85,21.94,7.79,1.1,2.88,2.47,3.44,3.92,1.47,4.37,9.46,11.4,27.9,1.1,0.4,41.4,20,6.4,16.5,1.3,0.6,40.9,11.3
"GM14319B-3",1.12,2.32,30.85,3.31,97.98,222.17,171.88,39.72,1.18,2.32,1.03,1.86,17.5,8.09,1.11,2.01,3.04,3.2,4.29,1.05,4.27,10.2,1.3,9.6,1.1,0.8,42.3,4.5,3.2,10.5,1.1,0.8,42.8,7
"GM14319B-4",0.98,2.15,31.87,2.9,96.21,207.41,131.83,41.61,1.15,3.51,1.03,2.04,17.7,6.83,1.12,2.24,3.06,3.24,3.32,0.95,3.92,8.42, , ,0.7,0.4,41.8, , , ,0.7,0.4,41.8, 
"GM14319B-5",2.58,2.36,32.83,3.78,98.01,235.12,146.61,44.39,1.13,2.28,1.17,2.44,24.88,9.01,1.13,2.41,2.45,2.6,4.96,1.04,4.39,11.6,4.5,12.7,0.7,0.4,42,8.5,5.8,14.1,0.7,0.4,41.8,10
"GM14319B-6",1.44,2.12,35.93,2.55,96.74,202.22,131.47,36.26,1.87,3.52,1.04,2.07,15.02,5.41,1.15,2.82,1.27,3.35,3.16,0.96,3.94,8.06,12,34.3,1.4,0.5,43.3,23,10.5,27.1,1.2,0.7,43.1,18.7
"GM14319B-7",0.16,2.08,28.56,2.65,97.42,188.93,186.3,41.44,1.61,2.81,1.02,2.05,17.98,7.62,1.12,2.19,3.01,3.17,3.79,1.44,4.36,9.18, , ,0.3,0.7,35.8, , , ,0.5,0.6,36, 
"GM14321A-1",0.4,2.1,25.41,2.74,96.2,279.14,280.13,54.14,1.19,1.4,1.05,2.66,19.95,6.99,1.14,2.85,2.98,2.72,4.05,1.09,4.59,10.02,8.2,23.1,1.6,1,40.4,14.4,6.3,18.7,1.3,0.9,40.6,12.7
"GM14321A-2",0.04,2.05,26.36,2.48,87.49,211.78,195.06,39.89,1.14,3.45,1,1.87,21.56,8.9,1.14,2.67,2.44,3.35,3.51,2.48,4.26,8.72,4.6,11.5,2,1.3,43.2,8.5,8.4,19.8,1.3,0.9,42.2,14
"GM14321A-3",0.62,2.11,26.84,3.72,89.16,254.31,224.41,52.87,1.3,2.8,1.03,2.39,17.19,8.52,1.15,2.29,3.06,2.38,5.35,1.09,4.29,12.97,13.1,31.6,1.2,2,39.2,22.3,8.5,23.3,1.2,1.2,39.3,15.7
"GM14321A-5",2.14,2.35,25.56,2.48,85.78,199.7,85.27,36.11,1.19,3.69,1.01,2.39,14.77,6.56,1.19,2.7,2.48,3.19,3.59,2.5,4.32,8.91,6.6,22.2,1.8,1.2,42.1,12.6,7.9,21.8,1.9,1.1,42,14.9
