"accession_name","branch_number","carotenoid1_8","DM_gravity","DM_yield_ha","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","plant_type","root_constriction1_3","root_length1_3","root_number","root_number_commercial","root_peduncle1_3","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5","yield_ha","BLUEs_WAB_20min_10mon","BLUEs_WAB_30min_10mon","BLUEs_carotenoidtotal","BLUEs_betacarotenoid_nirs","BLUEs_DM_nirs","BLUEs_ave_WAB","BLUPs_WAB_20min_10mon","BLUPs_WAB_30min_10mon","BLUPs_carotenoidtotal","BLUPs_betacarotenoid_nirs","BLUPs_DM_nirs","BLUPs_ave_WAB"
"GM14553B-5",4.24,3.28,27.04,2.57,93.36,246.41,96.75,40.39,2.47,3.72,1.03,2.01,17.08,6.31,1.14,2.16,3.03,3.23,3.34,1.1,4.34,8.28,2.8,8.8,1.4,1.3,39.8,6.8,4.5,12.4,1.3,1.2,40.2,8.4
"GM14553B-8",1.55,2.09,31.9,2.54,89.22,208.96,138.36,42.67,1.38,3.33,1.04,2.03,14.07,6.62,1.16,2.3,1.27,3.3,3.16,2,4.31,8.06,1.8,4.3,-0.1,0,31,1.9,3.3,5.7,0.1,0.2,32.1,4.8
"GM14553B-9",0.42,2.31,23.59,2.1,96.49,195.93,131.82,34.18,1.98,3.54,1.04,2.05,16.91,6.68,1.14,2.25,1.03,2.73,3.39,0.99,4.3,8.47,18.8,35.1,0.4,-0.1,41.2,27,12.4,22.7,0.7,0.2,41.2,17.2
"GM14559B-1",0.44,2.15,30.17,3.43,90.41,264.85,241.62,54.05,1.68,2.99,1.05,2.04,20.48,8.92,1.12,2.79,3.06,2.84,4.42,1.02,4.29,10.88,7.3,13.7,0.6,0.5,45.8,12.1,6.8,16.3,0.7,0.6,45.3,11.5
"GM14559B-10",1.17,1.98,27.33,2.49,75.15,241.68,180.65,41.42,1.82,3.23,1.05,2.23,14.95,7.26,1.15,2.62,1.89,2.92,3.54,1.06,4.28,8.55,5.1,4.4,1.5,1.1,42.2,6.9,6,12.7,1.2,0.9,42.2,9.3
"GM14559B-2",2.86,2.01,26.85,3.71,96.78,222.79,115.47,39.93,1.8,3.44,1.04,2.08,21.71,9.49,1.09,2.22,3.03,2.9,4.96,1.03,4.33,12.27,9.3,18.5,0.7,0.3,41.5,14.3,8.1,20.8,0.9,0.7,41.1,14.5
"GM14559B-3",2.28,2.03,27.07,2.95,95.44,250.31,166.59,39.56,1.8,2.7,1.03,2.36,22.82,9.83,1.14,2.88,3.03,2.74,4.49,1.08,4.31,10.81,10.4,24.8,0.3,0.1,41.4,17.7,10.3,25.7,0.8,0.5,40.9,18.2
"GM14559B-4",1.11,2.08,29.26,4.76,96.71,227.74,175.29,51.42,1.19,2.3,1.04,2.39,22.26,10.16,1.1,2.2,3.04,2.2,6.33,1.11,4.28,15.2, , , , , , , , , , , , 
"GM14559B-6",2.11,2.18,31.77,3.74,97.41,217.16,117.72,55.38,1.78,3.22,1.05,2.09,19.38,8.93,1.14,2.79,3.05,2.62,4.98,1.08,4.37,12.13,10.6,26.1,0.7,0.4,43.4,18.2,8.4,19.4,0.7,0.4,43.5,14
"GM14559B-7",0.98,2.13,28.33,3.26,95.27,189.69,145.38,33.81,1.92,3.17,1.05,2.19,22.33,8.24,1.14,2.66,2.49,2.39,4.78,1.07,4.4,11.33,5.3,11.9,0.8,0.6,34.9,8.9,7,15.6,0.5,0.5,36,11.3
"GM14559B-8",4.15,2.08,30.25,4.35,95.96,221.72,104.67,32.23,1.81,3.23,1.05,2.38,21.08,9.46,1.13,2.87,3.07,2.68,5.24,1.08,4.43,12.91,1.7,10.1,0.8,0.3,44.6,7.9,3.5,16.1,0.4,0.2,44.3,10.1
"GM14559B-9",1.19,2.32,29.35,3.39,97.08,260.76,219.71,52.17,1.93,3.45,1.04,2.43,20.13,9.16,1.15,2.7,2.93,2.35,4.68,1.03,4.56,11.17,7.9,21.1,0.7,0.8,43.9,14.1,7.6,18,1.2,0.8,43.2,12.9
"GM14561B-1",0.02,2.04,28.2,4.64,94.24,257.23,253.59,45.91,1.17,2.29,1.04,2.23,28.24,11.57,1.13,2.87,2.4,2.6,6.5,1.45,4.53,15.72,9.5,21.9,0.9,1.1,42.1,15.4,8.7,19.4,1.1,1.1,42,13.9
"GM14562B-10",-0.04,2.11,24.9,2.7,84.29,230.93,221.91,55.68,1.31,2.95,1.03,2.11,21.32,10.29,1.14,2.86,3.02,2.66,4.53,2.24,4.38,11.29,17.2,27.6,0.6,0.6,43.6,22.8,11.4,19.6,1.2,1,42.8,15.2
"GM14562B-3",0.27,2.08,31.04,3.81,99.26,213.99,202.51,55.7,1.16,2.41,1.04,2.04,21.64,10.2,1.12,2.89,2.46,2.81,4.82,1.02,4.22,12.12,9.8,24,1.4,0.9,42.6,16.6,8.5,18.6,1.1,1,42.2,13.5
"GM14562B-4",1.57,2.1,29.5,3.61,90.07,211.69,118.98,51.56,1.25,2.58,1.04,2.41,19.67,8.57,1.14,2.83,1.27,2.85,4.78,1,3.95,11.68,11.1,21.7,0.7,0.4,41.1,16.9,9.9,25.2,1,0.9,40.7,17.6
"GM14562B-5",0.79,2.1,29.43,5.07,93.71,217.61,188.68,46.46,1.23,2.55,1.04,2.42,18.87,9.46,1.13,2.9,3,2.33,5.84,1.15,3.89,14.8,14.2,28.2,1,0.5,41.5,21.1,10.1,19.2,1,0.8,41.5,14.6
"GM14562B-7",0,2,34.99,2.31,98.42,243.18,250.33,58.2,1.57,2.08,1.03,2.26,20.25,2.88,1.15,2.89,1.02,2.98,2.87,1.85,4.35,6.85, , ,1.4,1.2,43.8, , , ,1.3,1.1,43.6, 
"GM14562B-8",0,2.08,26.42,3.87,98.8,212.5,205.67,63,1.8,2.81,1.01,2.45,25.57,13.62,1.13,2.83,2.41,2.3,6.16,1,4.28,14.94,6.4,13.9,1.5,1.4,39.5,12.3,8.2,21.4,1,1,39.2,14.7
"GM14562B-9",0.27,2.04,27.35,4.25,96.91,213.53,191.92,56.06,1.26,2.45,1.03,2.23,20.02,8.49,1.14,2.34,2.49,2.16,5.68,1.27,3.95,14.38,11.5,28.5,0.7,0.6,40.9,20.3,8,17.9,1.2,0.9,41.1,12.8
"GM14564A-1",1.02,2.11,26.33,3.39,96.83,238,200.73,49.27,1.2,2.91,1.21,2.05,22.14,8.69,1.14,2.32,2.17,2.84,4.53,1.1,4.01,11.11,7.3,17.8,0.8,1,41.5,13.4,8.1,17.8,0.8,0.9,41.5,13.1
"GM14564A-2",0.86,1.65,27.32,4.54,97.11,226.83,187.15,56.12,1.26,2.47,1.01,2.07,23.5,10.33,1.12,2.28,3.08,2.75,6.4,1.06,4.24,15.31,9.9,27.6,0.8,0.5,41.1,19.2,7,17.5,1.3,0.9,41.4,12
"GM14564A-3",0.45,2.09,24.32,3.21,97.04,202.68,183.19,54.23,1.27,3.01,1.09,1.89,24.59,9.82,1.12,2.01,2.99,2.91,4.91,1.69,4.11,12.03,15.9,43.7,0.2,0,33.8,29.2,12.8,33.1,0.3,0.2,34.3,23
"GM14564A-4",0.8,2.04,27.01,3.15,98.22,196.89,132.74,36.24,1.84,3.68,1.03,2.09,17.97,8.32,1.11,2.36,3.03,2.9,4.66,1.87,4.52,10.93, , ,1.8,1.2,41, , , ,1.7,1.2,41.3, 
"GM14564A-5",0.16,2.26,29.2,2.96,84.74,205.94,212.31,32.97,1.21,2.25,1.03,2.48,16.5,5.85,1.16,2.22,2.98,2.71,3.9,0.96,3.78,9.51,4.5,15.2,0.9,0.9,42.3,7.5,7.2,16.8,1,0.8,41.9,12
"GM14564A-6",0.23,2.09,26.39,3.85,97.67,257.14,253.82,43.02,1.33,2.2,1.04,2.39,23.06,11.09,1.13,2.88,2.43,2.18,5.71,1.04,4.39,13.75,10.6,40.3,1.2,0.4,41.4,25.2,8.6,30.5,1.2,0.6,41.4,19.6
"GM14564A-8",0.57,2.03,27.38,2.91,96.36,181.98,138.07,44.7,1.17,3.4,1.04,2.07,17.43,5.62,1.11,2.23,2.46,2.91,3.81,2.27,3.94,9.47,11,42.1,1,0.9,40.2,24.5,13.5,41.1,0.7,0.7,39.7,27.4
"GM14565B-1",0.04,2.02,29.07,2.29,96.33,186.99,171.98,42.39,2.05,3.82,1.05,2.4,14.78,6.64,1.13,2.73,2.94,3.24,3.43,2.17,4.3,8.08,14.3,29,0.8,0.3,41.5,21.9,12.4,26,0.8,0.4,42,19.1
"GM14565B-10",1.31,2.12,29.86,4.08,96.37,241.82,167.23,60.66,1.14,2.39,1.03,2.4,20.34,10.31,1.16,2.82,3.07,2.53,5.32,1.05,4.42,12.9, , , , , , , , , , , , 
"GM14565B-2",0.78,2.09,27.22,2.87,85.43,244.44,215.74,52.17,1.14,1.88,1.04,1.87,22.02,7.89,1.12,2.21,3.04,2.75,3.93,1.07,4.39,9.47,4.5,21.9,2.2,1.7,41.3,11.2,7.1,21.7,2,1.4,41.4,14.5
"GM14565B-3",0.22,2.08,25.59,1.19,90.01,195.06,182.42,48.64,1.46,3.52,1.04,1.65,15.02,3.71,1.12,2.2,3.02,3.61,1.88,2.59,3.96,4.68,12.7,26.3,0.8,0.8,40.9,19.4,11,22.1,1,0.7,40.8,16.4
"GM14565B-4",1.38,2.14,28.46,3.03,91.39,216.21,137.52,43.81,1.8,2.75,1.05,2.08,16.41,7.37,1.14,2.26,3.04,2.97,3.96,1.09,4.36,9.84,4.5,11,1.1,1.2,41.9,7.9,4.3,11.1,1.3,1,42.1,7.7
"GM14565B-5",1.36,2.16,27.89,2.95,97.14,229.87,134.48,45.8,1.7,2.85,1.04,2.42,15.82,7.49,1.15,2.27,3.07,3.21,4.02,0.98,4.49,9.99,3.6,16.1,0.1,-0.1,39.7,8.1,5.3,16.1,0.3,0.1,40.1,10.8
"GM14565B-6",2.83,2.1,27.53,2.68,82.06,240.22,129.96,52.13,2.05,2.72,1.02,2.31,14.91,6.32,1.16,2.86,3.07,2.79,3.81,1.13,4.43,9.5,1.1,-3,1.3,0.9,44,1.6,4.6,10.7,0.9,0.6,42.5,7.6
"GM14565B-7",2.5,2.3,26.26,3.26,97.05,226.97,134.49,39.82,2.03,2.9,1.04,2.09,19.98,6.75,1.19,2.23,3.03,2.88,4.02,1.63,4.4,10.37,3.2,14.3,1.2,0.9,41.9,7.9,4.8,14.6,1.4,0.9,41.6,9.9
"GM14565B-8",2.4,2.02,28.67,3.92,90.07,216.25,117.27,43.18,1.73,3.03,1.01,2.32,20.53,8.54,1.12,2.93,3.03,2.24,4.75,1.11,4.38,11.87,5,14.5,1.3,1.2,43.4,9.2,6.3,18.1,1.2,0.9,43.1,12.2
"GM14565B-9",2,2.12,27.33,3.58,89.96,224.12,147.28,45.78,1.7,2.87,1.03,2.41,19.03,8.06,1.16,2.8,2.17,2.43,4.98,1.02,4.39,12.12,7.5,20.5,0.5,0.3,40.6,13.6,7,18,0.8,0.6,40.8,12.4
"GM14566B-1",2.36,3.13,26.05,4.22,96.19,258.01,186.67,52.95,1.32,1.82,1.04,2.46,24.74,9.94,1.16,2.8,3.03,1.97,6.36,1.09,4.54,15.22,12.5,20.3,0.5,0.4,40.6,17.1,11.2,20,0.5,0.2,41.1,15.4
"GM14566B-3",2.58,2.03,30.39,3.15,96.65,210.73,116.86,44.68,1.69,3.09,1.2,2.39,20.71,8.26,1.12,2.37,3.02,2.62,4.35,1,4.33,10.37,9.2,20.6,-0.3,0.3,40.6,15.6,7.6,17.6,0.6,0.7,40.3,12.5
"GM14566B-4",0.14,2.04,22.91,3.27,97.14,252.53,236.66,51.44,1.12,1.81,1.03,2.39,19.52,8.85,1.13,2.15,2.08,2.2,5.48,1.11,4.37,13.1,10.9,25.3,1.7,1.3,41.3,17.7,9.8,22.8,1.5,1.1,41.4,16.2
"GM14566B-5",0.68,1.96,26.34,4.86,97.25,231.49,207.43,60.93,1.58,3,1.03,2.44,17.58,9.46,1.11,2.7,3.01,2.23,7.63,1.07,4.64,18.18,11.5,31.6,1,1.3,41.8,22.3,10.2,26.9,1,0.9,41.6,18.7
"GM14566B-6",0.86,1.17,28.23,1.55,96.76,187.48,146.45,30.02,2.72,4.13,1.03,1.77,11.27,3.85,1.15,2.83,2.99,3.7,2.04,1.08,3.86,5.22, , , , , , , , , , , , 
"GM14566B-9",0.67,2.02,23.98,2.7,91.59,170.23,140.56,36.69,2.1,4.04,1.03,2.1,18.04,8.17,1.09,1.72,2.45,2.82,3.91,1.07,4.37,9.79,13,21.5,1.6,1,38.1,17.6,11.9,21.6,1.4,0.9,38.5,16.7
"GM14574A-2",0.28,2.04,29.1,5.25,97.64,254.74,211.1,59.52,1.2,2.04,1.02,2.22,23.21,13.06,1.12,2.13,1.03,2.04,7.34,1.02,4.17,17.51,6.8,24.4,1.5,1.5,42.6,15.4,6,17,2,1.5,42.5,11.4
"GM14574A-3",-0.24,2.23,29.05,3.18,96.67,228.93,224.98,49.34,1.59,2.56,1.05,1.8,18.93,7.32,1.14,2.28,2.98,3.34,4.62,1.87,4.59,10.7,4.2,13.2,1.5,1.3,45.6,6.7,6.6,15.4,1.6,1.2,45.3,10.9
"GM14574A-4",3.14,2.08,29.85,3.8,97.64,224.13,114.93,41.45,1.38,3.18,1.08,2.37,20.87,9.02,1.06,2.42,3,2.42,5.41,2.06,4.46,12.49, , ,2.1,1.4,41.2, , , ,1.4,1,39.8, 
"GM14574A-5",0.13,2.09,30.15,2.64,96.09,180.82,150.51,35.41,1.07,3.75,1.03,2.08,17.72,7.47,1.13,2.38,1.06,3.15,3.45,2.77,4.13,8.49,2.9,8,1.9,1.4,42.1,5.7,4.1,10.5,1.7,1.3,42.2,7.4
"GM14574A-6",0.07,1.3,32.89,2.8,95.12,221.3,205.53,51.66,1.17,2.43,1.03,2.14,19.28,8.74,1.13,1.96,2.98,2.72,3.78,1.04,4.15,8.7,15.1,37.3,1.3,0.9,44.1,26.2,11,26.6,1.3,1.1,43.7,18.7
"GM14574A-7",0.52,2.06,30.01,6.35,96.89,242.69,199.04,52.16,1.14,2.39,1.02,2.26,32.11,14.07,1.14,1.97,2.47,1.95,8.51,1.03,4.41,20.23,7.6,18.6,1.1,0.4,43,13.2,8.2,20.7,1.2,0.8,42.6,14.5
"GM14574A-8",-0.18,2.22,30.54,4.88,88.96,251.67,242.48,68.3,1.15,2.4,1.05,2.35,22.25,12.02,1.1,2.6,2.95,2.32,6.12,1,4.27,14.97,10.9,31.9,1.6,1.1,43.8,21.1,10.5,26.8,1.4,1,44,18.8
"GM14574A-9",0.48,2.15,30.09,3.02,97.22,230.66,192.45,55.74,1.22,2.6,1.06,2.25,18.75,8.82,1.12,2.34,2.4,2.43,4.83,1.08,4.29,10.88,4.5,12.2,1.4,1,40.7,8,7,17.5,1.1,0.8,40.4,12.2
"GM14594B-2",0.51,2.04,35.44,3.55,97.69,219.96,169.41,47.65,1.4,2.99,1.04,2.1,18.46,9.35,1.18,2.9,3,2.73,4.2,1.06,4.4,10.1,8,19.6,1.6,1,44.6,14,5.4,13.3,1.6,1.2,44.1,9.4
"GM14615B-1",0.34,2.04,31.73,4.38,97.08,195.63,181.68,40.35,1.12,2.89,1.05,2.05,24.45,10.86,1.17,2.4,3.04,2.24,5.46,0.98,4.41,13.06,11.9,16.4,0.8,0.8,42.5,14.1,9.4,13,1,0.9,42.5,11.1
"GM14615B-2",0.75,3,28.93,5.09,75.19,203.92,119.92,34.69,1.68,2.89,1.03,2.31,20.08,10.21,1.12,2.38,1.07,2.18,6.47,1.07,4.34,15.86,5.1,13.4,2.3,1.5,43.3,8.3,7.4,15.9,2.2,1.4,44.2,11.5
"GM14615B-3",0.34,2.06,31.62,3.34,93.32,213.36,199.37,55.27,1.29,2.71,1.04,2.23,21.7,8.09,1.09,2.29,3,2.78,4.27,1.06,4.31,10.05,2.2,5,1.3,1.2,42.3,4.2,3.6,8.5,1.3,1.1,42.4,6.2
"GM14615B-4",2.91,2.3,33.45,2.44,97.36,180.17,68.15,41.55,2.57,3.65,1.02,2.11,13.45,5.3,1.11,2.87,3.02,3.2,2.84,1.67,4.03,7.28,5.6,13.1,1.5,1.1,43.2,9.2,6.2,13.7,1.4,1,43.4,9.9
"GM14615B-6",0.73,1.94,31.8,2.06,96.86,205.19,116.51,42.98,2.17,3.91,1.19,1.95,19.95,4.76,1.17,2.4,2.48,3.77,2.67,1.63,4.39,6.17,2.7,7.8,1.5,1.2,42.7,2.8,5.9,12.3,1.5,1.1,42.1,9
"GM14615B-7",0.1,2.04,32.7,4.98,97.39,217.93,207.61,44.1,1.2,2.46,1.06,1.86,27.96,10.97,1.17,2.37,2.45,2.91,5.97,1.02,4.14,14.57,5.7,16.3,1.5,1.4,42.5,11.2,6.5,16.6,1.4,1.1,42.6,11.6
"GM14615B-8",0.61,2.04,30.81,2.63,94.49,184.22,134.85,42.43,1.47,4.23,1.03,2.05,14.71,6.36,1.12,2.38,2.48,3.17,3.4,2.67,3.92,8.17,7.9,7.3,2,1.5,45.8,11.7,7.8,16.4,1.7,1.2,45,11.9
"GM14615B-9",1.36,2.14,29.2,6.98,97.5,218.96,118.57,49.26,1.09,2.21,1.22,2.09,29.17,11.66,1.19,2.66,1.03,1.83,9.04,1.09,4.34,22.17,5.1,17.3,1.1,1.1,42,11.1,6.8,18.2,1.2,1.1,42.2,12.4
"GM14616A-4",0.7,2.05,30.58,4.74,94.72,242.47,165.81,45.61,1.14,2.98,1.16,1.74,24.39,9.47,1.1,2.11,1.03,2.74,6.31,1.05,4.4,15.12,4.2,15.3,0.6,0.5,40,8.5,5.7,15.1,0.6,0.5,41.2,10.6
"GM14616A-6",1.03,3.45,32.47,6.6,99.29,226.68,179.8,47.57,1.69,2.28,1.05,2.08,31.36,12.96,1.15,2.17,2.99,2.27,7.91,1.03,4.29,19.35,4.9,9.6,2.2,1.1,45.3,7.6,5.7,11.9,2,1.1,45.2,8.8
"GM14616A-8",1.13,2.04,30.81,4.39,92.52,201.37,118.6,43.63,1.17,3.6,1.04,2.08,22.03,11.86,1.1,2.19,2.47,2.02,5.97,1.09,4.35,14.26,9.3,26,0.2,0,39.9,17.7,8.9,23.4,0.3,0.2,40.1,16.1
"GM14616A-9",1.71,2.01,31.43,4.75,97.77,194.93,121.79,44.55,1.7,3.29,1.03,2.41,25.86,11.17,1.14,2.82,2.39,1.98,6.35,1.02,4.32,15.31,5.6,29.9,1,0.7,41.2,16.7,5.9,20.6,1.2,1.1,41.1,13.6
"GM14638B-2",0.69,3.05,31.63,3.67,96.17,171.43,120.61,37.74,1.34,3.83,1.04,2.4,18.99,8.17,1.16,2.8,1.27,2.44,4.6,2,3.99,11.28,8.9,19.3,0.9,0.7,40,15.4,8.7,21.1,0.8,0.6,40.2,14.8
"GM14638B-3",0.46,2.12,33.86,6.05,97.04,213.96,178.85,45.07,1.63,2.87,1.03,2.41,25.81,12.33,1.15,2.82,3.09,2.1,7.32,1.06,4.49,17.37,3.8,1.7,1.3,1,43.4,4.6,4.8,10.3,1,0.9,44.2,7.5
"GM14638B-4",0.34,3.22,30.24,2.55,95.89,190.52,173.16,41.29,1.26,3.71,1.04,2.13,18.56,6.4,1.13,2.66,1.01,3.37,3.51,2.6,3.92,8.54,6.7,27.6,2.1,1.2,41.8,17.1,7.3,25,1.9,1,41.8,16.2
"GM14638B-6",0.27,2.12,30.59,3.99,96.99,182.38,144.11,40.67,1.25,3.43,0.99,2.41,20.38,8.46,1.16,2.27,3.09,2.85,5.23,1.89,4.36,12.68,7.8,18.5,2.3,1.4,42,12.8,7.3,16.9,2,1.3,41.9,12
"GM14638B-7",1.11,2.12,31.54,6.19,96.98,294.04,273.91,50.33,1.24,2.48,1.05,2.42,27.02,12.39,1.13,2.3,3.06,2.33,7.87,2.02,4.28,18.6,4.6,14.9,1.5,1,44.1,8.3,6.6,16.2,1.3,0.8,43.8,11.5
"GM14638B-8",0.44,2.12,30.73,3.59,96.19,173.33,128.57,40.2,1.79,3.5,1.04,2.39,18.09,8.15,1.15,2.83,2.17,2.46,4.42,2.32,3.94,10.87,8.1,13.8,0.6,-0.1,41.7,10.8,4.6,8.7,0.7,0.3,42,6.6
"GM14638B-9",0.57,2.1,31.65,3.22,98.03,204.6,158.2,49.26,1.78,3.35,1.02,2.08,19.86,8.36,1.13,2.28,3.08,3.05,4.08,2.43,3.94,10.12, , ,1,0.4,44.3, , , ,1.2,0.6,44, 
"GM14645A-1",3.23,2.35,29.43,3.38,90.28,226.31,73.46,46.24,2.55,3.46,1.05,2.39,21.69,8.26,1.21,2.85,2.48,2.44,4.56,1.1,4.38,10.88,2.4,5.3,2.1,1.3,39.1,3,3.9,7.2,2,1.3,39.6,5.7
"GM14645A-2",3.36,2.28,28.81,3.92,99.3,202.91,95.91,43.96,1.88,3.57,1.21,2.41,21.79,7.54,1.13,2.82,1.05,2.55,5.13,1.09,4.41,12.77, , ,2.1,1.7,40, , , ,2,1.7,39.9, 
"GM14645A-3",1.32,2.01,30.54,5.65,96.03,219.84,130.26,44.91,1.63,2.51,1.03,2.39,21.11,7.69,1.14,2.93,1.03,1.93,7.09,1.05,4.33,17.24,4.5,6.3,1.3,1.3,38.1,8.7,4.7,13.9,1.3,1.2,38.5,9.1
"GM14645A-4",2.88,2.09,27.01,3.25,97.92,231.35,141.55,42.48,1.59,2.78,1.05,2.42,21.15,9.94,1.12,2.69,3.06,2.43,4.77,1.03,4.42,11.94,6.1,22,0,0.1,38.5,13.2,7.1,20.4,0.2,0.2,39.3,13.9
"GM14647A-1",2.84,2.13,27.91,3.06,91.5,198.47,115.89,41.48,1.71,2.75,1.03,2.07,17.76,7.91,1.15,2.79,3.07,3.15,4.18,1.11,4.42,10.34,5.1,19.8,0.8,0.9,35.7,12.3,5.7,16.8,1,1,36.1,11.2
"GM14648A-1",1.47,2.13,29.07,3.79,91.48,234.98,164.97,46.49,1.73,2.84,1.22,2.43,18.93,8.85,1.15,2.8,3.07,2.71,5.25,1,4.45,12.73,8.5,19.6,2,2.2,38.7,13.7,5.9,17.1,1.7,1.3,39.3,11.5
"GM14648A-11",0.2,2.12,25.95,2.59,90.52,254.29,243.73,57.69,2.63,3.4,1.04,2.41,13.95,7.05,1.22,2.67,3.01,2.4,4.49,1.04,4.36,11.05,6.4,18.9,1,1.2,40.9,12.3,6.6,17,0.9,1.2,41.3,11.8
"GM14648A-3",1.61,2.01,26.68,2.48,98.62,212.9,107.82,50.18,2.54,3.69,1.06,2.13,18.04,7.3,1.07,2.4,3.03,3.4,3.38,1.07,4.29,8.38,8,16.4,0.7,0.7,41.8,12.2,8.1,17.4,0.8,0.9,41.2,12.7
"GM14648A-5",0.51,2.12,27.24,3.99,96.7,259.8,236.39,60.71,2.27,2.94,1.03,2.4,20.86,9.44,1.15,2.29,3.07,2.52,5.65,1.06,4.45,13.63,9.9,24.8,-0.3,-0.2,37.9,18,8.1,20,0.6,0.3,38,13.9
"GM14648A-6",0.39,2.34,31.89,4.8,99.36,276.48,262.8,78.29,1.92,3.07,1.06,2.14,22.74,7.73,1.12,2.18,1.04,2.63,5.48,1.04,4.31,13.39,4,9.3,2.2,1,40.5,7.9,5.4,13.4,2,1.1,40.4,9.4
"GM14648A-7",0.15,2.12,29.44,3.85,96.58,213.58,182.23,53,1.64,3.04,1.03,2.03,20.97,9.81,1.12,2.27,3.06,2.43,4.98,0.96,4.29,12.12,5.8,15.1,1.4,1.3,40,9.9,6.3,14.9,1.8,1.3,39.7,10.7
"GM14648A-9",2.97,2.18,30.52,3.59,97.55,218.77,103.74,44.75,2.29,3.16,1.04,2.09,17.42,8.78,1.14,2.26,3.05,2.58,4.8,1.12,4.36,11.73,5.4,11.4,1.6,1,41,8.4,7,15.5,1.1,0.9,41.2,11.2
"GM14650A-1",3.83,2.12,24.69,2.77,98.71,239.16,115.05,40.31,1.83,2.99,1.04,2.43,16.12,6.5,1.14,2.82,1.28,2.9,3.54,1,4.43,8.91,3,9.9,1.2,1.4,38.7,4.4,6.1,14,1.1,1.2,38.4,10.1
"GM14650A-10",-0.38,2.02,29.61,4.45,97.4,244.51,247.19,51.47,1.48,2.58,1.04,2.6,25.19,10.48,1.14,2.41,1.43,2.24,6.13,1.68,4.38,14.66,3.7,9.4,0.4,0.4,41.3,6.7,5.1,11.3,0.3,0.3,41.6,8.3
"GM14650A-11",0.59,2.28,29.03,2.34,97.17,251.82,221.06,51.8,1.66,2.32,1.04,2.07,21.19,7.65,1.18,2.31,1.07,2.99,3.56,1.05,4.26,8.6,5.3,14.7,0,-0.1,36.5,9.4,6.1,14,0.2,0.1,37.1,10.1
"GM14650A-12",0.65,2.06,29.59,4.06,96.91,243.32,209.8,64.08,1.87,2.14,1.03,2.37,19.49,10.42,1.12,2.41,3.05,2.68,5.07,1.08,4.32,12.73,3.6,13.2,1.4,1.2,41.2,6.3,6.2,15.9,1.5,1.1,41.1,11
"GM14650A-3",3.66,2.16,26.78,3.19,97.24,241.84,116.65,40.77,1.71,2.91,1.03,2.41,15.28,6.86,1.15,2.27,3.07,3.29,4.46,1.05,4.42,10.97,5.1,11.4,0.7,0.3,40.6,9.7,5.7,15.5,0.6,0.3,41,10.8
"GM14650A-4",2.95,3.08,31.54,2.8,96.22,216.16,118.48,43.28,2.44,3.5,1.03,2.09,14.81,7.75,1.17,2.79,2.16,2.92,3.36,1.11,4.35,8.5,7.5,17.2,1.9,1.7,41.7,12.5,5.3,14.2,2.1,1.8,41.1,9.8
"GM14650A-6",0.43,2.27,30.55,2.83,96.56,257.25,208.17,58.25,2.34,3.38,1.05,2.09,16.35,7.07,1.22,2.4,2.99,3.28,3.68,0.98,4.28,8.81,7.2,19.4,-0.2,0.1,42.7,13.3,5,12.6,0.3,0.3,42.8,8.7
"GM14650A-7",1.57,2.18,29.28,3.07,95.15,221.7,168.2,43.28,1.26,2.72,1.04,2.14,19.54,8.4,1.15,2.28,3.05,2.89,4.19,2.01,3.9,10.37, , , , , , , , , , , , 
"GM14650A-9",0.56,2.04,32.87,3.51,98.65,210.46,179.11,59.18,2.12,3.01,1.04,2.07,18.78,10.03,1.13,2.37,2.96,2.71,4.21,1.67,3.95,10.58,3.7,7.3,0.5,0.2,42.7,6.6,5.2,12.4,0.5,0.4,42.7,8.8
"GM14657A-4",2.43,2.16,26.2,2.98,94.95,220.7,157.97,48.66,1.82,3.29,1.05,2.15,19.55,8.64,1.15,2.28,1.24,2.88,4.38,1.1,4.24,10.78,4,12,2.1,1.6,38.6,6.8,4.8,12.2,2,1.4,40,8.6
"GM14657A-5",1.84,2.29,24.24,3.44,96.1,221.1,140.18,49.6,1.81,2.68,1.24,2.08,25.86,4.75,1.2,2.21,2.04,3.64,4.1,1.01,4.38,10.54,8.7,18.1,1,0.9,36.3,13.1,6.3,15.2,0.7,0.9,36.9,10.8
"GM14657A-8",1.52,2.14,28.29,3.7,95.27,211.07,175.34,53.25,2.25,3.16,1.04,2.48,20.41,8.47,1.16,2.81,2.16,2.47,5.28,1.12,4.23,12.8,6.7,20.8,1.4,0.9,40.1,13.8,7.1,19,1.3,0.8,39.8,13.2
"GM14657A-9",1.08,2.11,28.29,2.5,90.03,226.02,168.18,54.84,2.19,3.46,1.03,2.05,17.67,7.35,1.15,2.31,2.18,3.42,3.31,1.01,4.43,8.39,4.2,12.4,0.9,1,37.9,6.1,7,15.3,1,0.9,37.8,11
"GM14667A-2",1.94,2.1,31.41,2.86,96.8,230.75,169.3,47.91,2.36,3.32,1.05,2.07,16.89,6.98,1.14,2.3,3.07,3.15,3.56,1.06,4.33,8.95,1.1,4.4,0,0.1,39.7,2.2,2.6,6.5,0.2,0.2,40,4.6
